#,Name,Instances,Features,Classes
1,abalone,4174,8,28
2,appendicitis,106,9,2
3,australian,690,14,2
4,automobile,150,25,6
5,balance,625,4,3
6,banana,5300,2,2
7,bands,365,19,2
8,breast,277,9,2
9,bupa,345,6,2
10,car,1728,6,4
11,chess,3196,36,2
12,cleveland,297,13,5
13,coil2000,9822,85,0
14,contraceptive,1473,9,3
15,crx,653,15,2
16,dermatology,358,34,6
17,ecoli,336,7,8
18,flare,1066,11,2
19,german,1000,20,2
20,glass,214,9,7
21,haberman,306,3,2
22,hayes-roth,160,4,3
23,heart,270,13,2
24,hepatitis,80,19,2
25,housevotes,232,16,2
26,ionosphere,351,33,2
27,iris,150,4,3
28,kr-vs-k,28056,6,17
29,led7digit,500,7,10
30,letter,20000,16,26
31,lymphography,148,18,4
32,magic,19020,10,2
33,mammographic,830,5,2
34,marketing,6876,14,0
35,monk-2,432,6,2
36,movement_libras,360,90,0
37,mushroom,5644,22,2
38,newthyroid,215,5,3
39,nursery,12960,8,5
40,optdigits,5620,64,10
41,page-blocks,5473,10,5
42,penbased,10992,16,10
43,phoneme,5404,5,2
44,pima,768,8,2
45,post-operative,87,8,3
46,ring,7400,20,2
47,saheart,462,9,2
48,satimage,6435,36,7
49,segment,2310,19,7
50,shuttle,58000,9,7
51,sonar,208,60,2
52,spambase,4597,57,2
53,spectfheart,267,44,2
54,splice,3190,60,3
55,tae,151,5,3
56,texture,5500,40,11
57,thyroid,7200,21,3
58,tic-tac-toe,958,9,2
59,titanic,2201,3,2
60,twonorm,7400,20,2
61,vehicle,846,18,4
62,vowel,990,13,11
63,wdbc,569,30,2
64,wine,178,13,3
65,winequality-red,1599,11,11
66,winequality-white,4898,11,11
67,wisconsin,683,9,2
68,yeast,1484,8,10
69,zoo,101,17,7
