,Algorithm,AUC,AUC +/-,Accuracy,Accuracy +/-,Precision,Precision +/-,Recall,Recall +/-,F1,F1 +/-
1,XGB,0.8047956079042109,0.1647184972931206,0.7907532024705568,0.21257182364114463,0.7893741246171504,0.21322147504064096,0.7907532024705568,0.21257182364114463,0.7829202070698982,0.2162478641294905
2,MLP,0.7682768283833922,0.1712649667751036,0.7669959451041939,0.21032541873843832,0.7570979183322543,0.22318907315585604,0.7669959451041939,0.21032541873843832,0.7498462552667837,0.22315666017568914
3,KNN,0.7578675244544092,0.16670600044211978,0.746314208501762,0.21466872694676775,0.7469013669707415,0.21796019878627898,0.746314208501762,0.21466872694676775,0.7379347127596033,0.21840975456506592
4,DT,0.7542631860381536,0.15138443157880888,0.7209789092212698,0.21414308990258257,0.7225948765729369,0.2135943874798009,0.7209789092212698,0.21414308990258257,0.7088971127994171,0.21963501094464027
5,GNB,0.7437255660240408,0.14738192841896883,0.663949860477796,0.24814363706727527,0.716985470964311,0.23091320727718567,0.663949860477796,0.24814363706727527,0.6549283255954188,0.25180298904373494
6,RF,0.7433762558684349,0.1584963920326351,0.7462292669026376,0.20413739708156453,0.7351304810508824,0.2149557287859803,0.7462292669026376,0.20413739708156453,0.7229056196285272,0.21791905292284655
7,SVC,0.7394589815030657,0.17955066152141685,0.7509824030688632,0.21680640852313507,0.7230980376046573,0.24698368762008546,0.7509824030688632,0.21680640852313507,0.7193465747336981,0.23909614756291206
8,AB,0.7384205659701515,0.15613348919607245,0.684006586720409,0.2505554940403373,0.6682353872328599,0.2716091619399746,0.684006586720409,0.2505554940403373,0.6594279988253854,0.2722873109200604
9,NC,0.7055861142828637,0.13688667111863867,0.6173661751515749,0.21605399381309218,0.6739733561246242,0.20500094865469426,0.6173661751515749,0.21605399381309218,0.6217680427944304,0.21373212981146283
